name,website,phone,address,rating,review_count
RegaloPrint,https://www.regaloprint.com,+18773358734,"101 Lexington Ave, New York, NY 10016",Not found,5
Works In Progress NYC,http://www.worksinprogressnyc.org,+12125980046,59 E 4th St,Not found,39
Print Zone NYC Printing Services,https://printzonenyc.com,+12128106610,866 6th Ave 3rd,Not found,63
Staples,https://stores.staples.com/ny/new-york/2248-broadway,+12127129617,"2248 Broadway, New York, NY 10024",Not found,Not found
PRINTSHIP NYC Printing & FedEx / DHL Shipping,https://printship.nyc,+16464132845,"308 E 94th St, New York, NY 10128",Not found,64
Shield Press,http://www.shieldpress.com,+12124317489,"9 Lispenard St, New York, NY 10013",Not found,7
New York Printings,https://newyorkprintings.com,+19292245731,No address found,Not found,10
Reflect Printing and Graphic Design,http://www.reflectprinting.com,+13477882121,01 21st St,Not found,48
Discount Print USA Catalogs-Flyers-Banners-Convention Printing-Booklets-Postcards,https://www.discountprintusa.com/new-york/long-island-city,+19174105105,70 21st St,Not found,15
Lightning Copy,http://lightningcopy.com,+12126823530,211 E 43rd St,Not found,25
Alpina Printing and Graphics,http://www.alpina.net,+12126833511,"134 E 28th St, New York, NY 10016",Not found,29
Print Icon,http://printicon.com,+12122554489,"134 W 20th St, New York, NY 10011",Not found,87
Duggal Visual Solutions,https://duggal.com,+12122427000,43 W 24 St,Not found,99
"Nova Custom Label Printing NY, NJ, Long Island - Same Day Labels",https://novacustomlabelprinting.com,+18004951306,"3 Horatio St, New York, NY 10014",Not found,264
PrintWithMe Print Kiosk at The Bean Astor (3rd Ave),http://www.printwithme.com/location/thebeanastor,+17737972118,"31 3rd Ave, New York, NY 10003",Not found,32
The Copy Specialist,http://www.thecopyspecialist.com,+12125337560,"131 W 24 St, New York, NY 10011",Not found,33
Acro Photo Print Inc,https://www.acrophotoprint.com,+19292444322,75 Maiden Ln,Not found,425
Triboro Printing,http://triboroprinting.com,+17182749572,"11 Steinway St, Long Island City, NY 11101",Not found,32
Copycats,http://www.copycats.com,+12125572111,216 E 45th St,Not found,161
Customnia / Custom T-shirt printing,https://customnia.com,+16469805568,220 E 23rd St,Not found,297
Prime Printing,http://www.primeprintingny.com,+17187282292,"03 30th Ave., Astoria, NY 11103",Not found,124
Smartpress,https://smartpress.com,+18889346909,68 Greene St 3rd,Not found,4
Manhattan Printing,https://manhattanprinting.com,+12124810570,267 5th Ave,Not found,94
Earth Enterprise Printer,http://www.earthenterprise.com,+16463623887,250 W 40th St,Not found,129
Vista + CRC Imaging Group,http://vistaimaginggroup.com,+12128076611,"73 Ludlow St, New York, NY 10002",Not found,45
Printing Garage,http://www.internet-garage.com,+17184860059,"334 Bedford Ave, Brooklyn, NY 11249",Not found,154
Fine Print New York,https://www.fineprintnyc.com,+12126195446,"315 Madison Ave, New York, NY 10017",Not found,41
Village Digital LLC,http://villagedigital.net/printing/t-shirts.html,+12127271248,3 Horatio St,Not found,82
PrintWithMe Print Kiosk at Black Cat LES,http://www.printwithme.com/location/blackcat,+17737972118,"172 Rivington St, New York, NY 10002",Not found,57
New York Printing Group Catalogs-Flyers-Banners-Convention Printing-Booklets-Postcards,http://www.newyorkprintinggroup.com,+12127506425,2248 Broadway,Not found,8
Upper West Side Copy,http://www.uwscopy.com,+12124967500,162 W 72nd St,Not found,9
The Copy Room,https://www.copyroom.com,+12123718600,"216 E 45th St, New York, NY 10017",Not found,8
Copy 4 Less NY,http://copy4lessny.com,+16463500563,149 W 36th St,Not found,155
Graphic Lab Printing Inc.,http://www.graphiclabinc.com,+12126821815,757 3rd Ave,Not found,96
Print City Corp,http://www.printcityny.com,+12124879778,117 W 29th St 1st,Not found,21
Printleaf,https://www.printleaf.com/printing-services-nyc.html,+12123281174,30 W 47th St,Not found,780
Sol Speedy Printing,http://www.solspeedy.com,+12127979400,39 Broadway,Not found,10
Manhattan Digital Direct,http://www.manhattandd.com,+16465075280,519 8th Ave 3rd,Not found,54
Thomas Group Printing,https://thomasgroupprinting.com,+12129476400,"131 Varick St, New York, NY 10013",Not found,257
PrintWithMe Print Kiosk at B Cup Cafe,http://www.printwithme.com/location/bcupcafe,+17737972118,"204 Avenue B, New York, NY 10009",Not found,74
City Papery,https://www.citypapery.com,+12124637035,"23 W 18th St, New York, NY 10011",Not found,126
Fairway Printing & Design,http://www.fairwayprinting.com,+12122792939,115 W 30th St,Not found,40
Copyland Center Inc. Printing and Shipping Center,https://copylandcenter.com,+12124398504,"335 E 65th St, New York, NY 10065",Not found,42
ComZone,http://www.comzoneny.com,+12126456428,5 W 16th St,Not found,24
"Daffodil Print, Your same-day print shop in New York City.",https://www.daffodilprint.com,+12128714430,519 8th Ave,Not found,120
VSL Print - NYC Printing Company,https://www.vslprint.com,+16468430800,239 W 29th St,Not found,3
The Source Unltd Print & Copy Shop NYC,http://www.sourceunltd.com,+12124737833,"331 E 9th St, New York, NY 10003",Not found,40
Sheer Print Solutions,https://sheerprintsolutions.com,+12126271500,149 W 36th St,Not found,31
Express Printing Copy,https://expressprintingcopy.com,+12124101234,"404 5th Ave, New York, NY 10018",Not found,9
Mogo Print + Design NYC,http://www.mogoprint.com,1000000014,353 W 48th St,Not found,6
PRINTSHOP by We Do,https://printshopbywedo.com/print-shop-flatiron-ny,+17184009336,287 Park Ave,Not found,42
Print Mor,http://www.printmor.com,+12127777624,636 Broadway,Not found,184
City Printing & Signs,http://www.cityprintingny.com,+12125641017,"163 W 35th St, New York, NY 10001",Not found,36
Automation Graphics at Best Printing NYC,https://www.bestprintingnyc.com,+16462053037,519 8th Ave 3rd,Not found,35
Local Printing,http://www.localprinting.com,+12128589303,267 5th Ave,Not found,13
F&H print,https://fnhprint.com,+12128840484,"146 W 29th St, New York, NY 10001",Not found,41
Copyland Center Inc,http://copylandcenter.com,+12124522906,"226 E 83rd St, New York, NY 10028",Not found,185
Swift Copy Printing,http://www.swiftcopy.com,+12126834900,"10 E 36th St, New York, NY 10016",Not found,95
New York Printing Solutions Inc.,https://www.nyprintingsolutions.com,+16466578877,252 W 38th St,Not found,172
FedEx Office Ship Center,https://local.fedex.com/en-us/ny/new-york/office-4486,+12129416340,"69 Spring St, New York, NY 10012",Not found,146
Unique Print NY,http://uniqueprintny.com,+12124209198,"252 Greene St, New York, NY 10003",Not found,391
B Squared,https://www.bsqu.com,+12127772044,"104 W 29th St, New York, NY 10001",Not found,17
Tribeca Printworks,https://www.tribecaprintworks.com,+12129661976,333 Hudson St,Not found,250
Print Mafia NYC,https://www.printmafia.nyc,+13472486279,1 Knickerbocker Ave,Not found,13
Digital City Printing,https://www.digitalcityprinting.com,+12122441254,519 8th Ave 3rd,Not found,304
Wholesale Copies,http://www.wholesalecopies.com,+12127794065,1 E 28th St,Not found,18
Menu Printing,http://menuprintingny.com,+18779913838,"100 Kenmare St, New York, NY 10012",Not found,12
Soho Reprographics,http://www.sohorepro.com,+12129257575,"38 Vandam St, New York, NY 10013",Not found,16
Best Same Day Rush Printing NYC,https://samedayprintingny.com,+16467844740,144 E 44th St,Not found,43
Japan Printing and Graphics,https://www.japanprint.com,+12124062905,48 Wall St,Not found,93
