name,website,phone,address,rating,review_count
Print X-Press & Copy Center,http://printingandcopycenter.com,+16264409472,"1188 E Colorado Blvd, Pasadena, CA 91106",Not found,77
Color Images Copy and Print,http://www.colorimages.com,+18185672900,"2320 W Olive Ave, Burbank, CA 91506",Not found,75
Staples Print & Marketing Services,https://stores.staples.com/ca/los-angeles/1701-south-figueroa/print-and-marketing-services,+12137466330,"1701 S Figueroa St, Los Angeles, CA 90015",Not found,36
Los Angeles Print Shop,http://printshop.la,+17608659708,"1950 S Santa Fe Ave, Los Angeles, CA 90021",Not found,3
Print Service LA,http://www.printservicela.com,+13239526002,1150 S Olive St,Not found,50
B PRINTING,https://bprintingsign.com,+13106455876,"1245 S La Brea Ave, Inglewood, CA 90301",Not found,364
"Henry Printing & Graphics, Inc",http://www.henrypg.com,+13234647228,"6124 Sunset Blvd, Los Angeles, CA 90028",Not found,26
Alliance Graphics & Printing dba AGP,https://flow.page/alliancegraphicsandprinting,+16612827411,1603 California Ave,Not found,39
Printers/Printex,http://printexonline.com,+13108363737,3272 Motor Ave,Not found,26
The Printing House,http://www.printinghouse.net,+18183800380,"16938 Ventura Blvd, Encino, CA 91316",Not found,26
Print Printing,http://www.printprinting.com,+17149926030,"670 Jefferson St suite g, Placentia, CA 92870",Not found,5
Professional Printing Center,http://www.proprintsla.com,+18188981537,"1203 San Fernando Rd, San Fernando, CA 91340",Not found,68
Kopy King Printing,https://kopykingprinting.com,+18183218627,"10601 Lev Ave, Mission Hills, CA 91345",Not found,21
Guru Printers,http://www.guruprinters.com,+12136124451,700 Flower St,Not found,35
Graphic EZ Print Shop Gardena,https://graphicezprint.com,+13106195387,"16605 S Broadway D, Gardena, CA 90248",Not found,27
Copy Network,http://www.copynetwork.com,+18182489898,"3600 Ocean View Blvd, Glendale, CA 91208",Not found,41
Sunset Printing,http://www.sunset-printing.com,+13103205365,"16301 S Broadway, Gardena, CA 90248",Not found,9
Overlap Print,http://overlapprint.com,+18184845877,33 E Orange Grove Ave,Not found,56
Platinum Print USA,http://platinumprintusa.com,+12139464783,380 S Los Angeles St,Not found,149
Titanium Prints,https://titanium-prints.com,+16614187352,626 W Lancaster Blvd,Not found,66
